ServiceName;Alias;Permission;Action;Description;AccessLevel;Resource
AWS Glue;glue;DeleteMLTransform;glue:DeleteMLTransform;Grants permission to delete an ML Transform;Write;True
AWS Glue;glue;DeletePartition;glue:DeletePartition;Grants permission to delete a partition;Write;True
AWS Glue;glue;DeletePartitionIndex;glue:DeletePartitionIndex;Grants permission to delete a specified partition index from an existing table;Write;True
AWS Glue;glue;DeleteRegistry;glue:DeleteRegistry;Grants permission to delete a schema registry;Write;True
AWS Glue;glue;DeleteResourcePolicy;glue:DeleteResourcePolicy;Grants permission to delete a resource policy;Permissions management;True
AWS Glue;glue;DeleteSchema;glue:DeleteSchema;Grants permission to delete a schema container;Write;True
AWS Glue;glue;DeleteSchemaVersions;glue:DeleteSchemaVersions;Grants permission to delete a range of schema versions;Write;True
AWS Glue;glue;DeleteSecurityConfiguration;glue:DeleteSecurityConfiguration;Grants permission to delete a security configuration;Write;False
AWS Glue;glue;DeleteSession;glue:DeleteSession;Grants permission to delete an interactive session after stopping the session if not already stopped;Write;True
AWS Glue;glue;DeleteTable;glue:DeleteTable;Grants permission to delete a table;Write;True
AWS Glue;glue;DeleteTableVersion;glue:DeleteTableVersion;Grants permission to delete a version of a table;Write;True
AWS Glue;glue;DeleteTrigger;glue:DeleteTrigger;Grants permission to delete a trigger;Write;True
AWS Glue;glue;DeleteUserDefinedFunction;glue:DeleteUserDefinedFunction;Grants permission to delete a function definition;Write;True
AWS Glue;glue;DeleteWorkflow;glue:DeleteWorkflow;Grants permission to delete a workflow;Write;True
AWS Glue;glue;GetBlueprint;glue:GetBlueprint;Grants permission to retrieve a blueprint;Read;True
AWS Glue;glue;GetBlueprintRun;glue:GetBlueprintRun;Grants permission to retrieve a blueprint run;Read;True
AWS Glue;glue;GetBlueprintRuns;glue:GetBlueprintRuns;Grants permission to retrieve all runs of a blueprint;Read;True
AWS Glue;glue;GetCatalogImportStatus;glue:GetCatalogImportStatus;Grants permission to retrieve the catalog import status;Read;True
AWS Glue;glue;GetClassifier;glue:GetClassifier;Grants permission to retrieve a classifier;Read;False
AWS Glue;glue;GetClassifiers;glue:GetClassifiers;Grants permission to list all classifiers;Read;False
AWS Glue;glue;GetColumnStatisticsForPartition;glue:GetColumnStatisticsForPartition;Grants permission to retrieve partition statistics of columns;Read;True
AWS Glue;glue;GetColumnStatisticsForTable;glue:GetColumnStatisticsForTable;Grants permission to retrieve table statistics of columns;Read;True
AWS Glue;glue;GetConnection;glue:GetConnection;Grants permission to retrieve a connection;Read;True
AWS Glue;glue;GetConnections;glue:GetConnections;Grants permission to retrieve a list of connections;Read;True
AWS Glue;glue;GetCrawler;glue:GetCrawler;Grants permission to retrieve a crawler;Read;True
AWS Glue;glue;GetCrawlerMetrics;glue:GetCrawlerMetrics;Grants permission to retrieve metrics about crawlers;Read;False
AWS Glue;glue;GetCrawlers;glue:GetCrawlers;Grants permission to retrieve all crawlers;Read;False
AWS Glue;glue;GetCustomEntityType;glue:GetCustomEntityType;Grants permission to read a Custom Entity Type;Read;False
AWS Glue;glue;GetDataCatalogEncryptionSettings;glue:GetDataCatalogEncryptionSettings;Grants permission to retrieve catalog encryption settings;Read;True
AWS Glue;glue;GetDatabase;glue:GetDatabase;Grants permission to retrieve a database;Read;True
AWS Glue;glue;GetDatabases;glue:GetDatabases;Grants permission to retrieve all databases;Read;True
AWS Glue;glue;GetDataflowGraph;glue:GetDataflowGraph;Grants permission to transform a script into a directed acyclic graph (DAG);Read;False
AWS Glue;glue;GetDevEndpoint;glue:GetDevEndpoint;Grants permission to retrieve a development endpoint;Read;True
AWS Glue;glue;GetDevEndpoints;glue:GetDevEndpoints;Grants permission to retrieve all development endpoints;Read;False
AWS Glue;glue;GetJob;glue:GetJob;Grants permission to retrieve a job;Read;True
AWS Glue;glue;GetJobBookmark;glue:GetJobBookmark;Grants permission to retrieve a job bookmark;Read;False
AWS Glue;glue;GetJobRun;glue:GetJobRun;Grants permission to retrieve a job run;Read;True
AWS Glue;glue;GetJobRuns;glue:GetJobRuns;Grants permission to retrieve all job runs of a job;Read;True
AWS Glue;glue;GetJobs;glue:GetJobs;Grants permission to retrieve all current jobs;Read;False
AWS Glue;glue;GetMLTaskRun;glue:GetMLTaskRun;Grants permission to retrieve an ML Task Run;Read;True
AWS Glue;glue;GetMLTaskRuns;glue:GetMLTaskRuns;Grants permission to retrieve all ML Task Runs;List;True
AWS Glue;glue;GetMLTransform;glue:GetMLTransform;Grants permission to retrieve an ML Transform;Read;True
AWS Glue;glue;GetMLTransforms;glue:GetMLTransforms;Grants permission to retrieve all ML Transforms;List;True
AWS Glue;glue;GetMapping;glue:GetMapping;Grants permission to create a mapping;Read;False
AWS Glue;glue;GetPartition;glue:GetPartition;Grants permission to retrieve a partition;Read;True
AWS Glue;glue;GetPartitionIndexes;glue:GetPartitionIndexes;Grants permission to retrieve partition indexes for a table;Read;True
AWS Glue;glue;GetPartitions;glue:GetPartitions;Grants permission to retrieve the partitions of a table;Read;True
AWS Glue;glue;GetPlan;glue:GetPlan;Grants permission to retrieve a mapping for a script;Read;False
AWS Glue;glue;GetRegistry;glue:GetRegistry;Grants permission to retrieve a schema registry;Read;True
AWS Glue;glue;GetResourcePolicies;glue:GetResourcePolicies;Grants permission to retrieve resource policies;Read;True
AWS Glue;glue;GetResourcePolicy;glue:GetResourcePolicy;Grants permission to retrieve a resource policy;Read;True
AWS Glue;glue;GetSchema;glue:GetSchema;Grants permission to retrieve a schema container;Read;True
AWS Glue;glue;GetSchemaByDefinition;glue:GetSchemaByDefinition;Grants permission to retrieve a schema version based on schema definition;Read;True
AWS Glue;glue;GetSchemaVersion;glue:GetSchemaVersion;Grants permission to retrieve a schema version;Read;True
AWS Glue;glue;GetSchemaVersionsDiff;glue:GetSchemaVersionsDiff;Grants permission to compare two schema versions in schema registry;Read;True
AWS Glue;glue;GetSecurityConfiguration;glue:GetSecurityConfiguration;Grants permission to retrieve a security configuration;Read;False
AWS Glue;glue;GetSecurityConfigurations;glue:GetSecurityConfigurations;Grants permission to retrieve one or more security configurations;Read;False
AWS Glue;glue;GetSession;glue:GetSession;Grants permission to retrieve an interactive session;Read;True
AWS Glue;glue;GetStatement;glue:GetStatement;Grants permission to retrieve result and information about a statement in an interactive session;Read;True
AWS Glue;glue;GetTable;glue:GetTable;Grants permission to retrieve a table;Read;True
AWS Glue;glue;GetTableVersion;glue:GetTableVersion;Grants permission to retrieve a version of a table;Read;True
AWS Glue;glue;GetTableVersions;glue:GetTableVersions;Grants permission to retrieve a list of versions of a table;Read;True
AWS Glue;glue;GetTables;glue:GetTables;Grants permission to retrieve the tables in a database;Read;True
AWS Glue;glue;GetTags;glue:GetTags;Grants permission to retrieve all tags associated with a resource;Read;True
AWS Glue;glue;GetTrigger;glue:GetTrigger;Grants permission to retrieve a trigger;Read;True
AWS Glue;glue;GetTriggers;glue:GetTriggers;Grants permission to retrieve the triggers associated with a job;Read;False
AWS Glue;glue;GetUserDefinedFunction;glue:GetUserDefinedFunction;Grants permission to retrieve a function definition;Read;True
AWS Glue;glue;GetUserDefinedFunctions;glue:GetUserDefinedFunctions;Grants permission to retrieve multiple function definitions;Read;True
AWS Glue;glue;GetWorkflow;glue:GetWorkflow;Grants permission to retrieve a workflow;Read;True
AWS Glue;glue;GetWorkflowRun;glue:GetWorkflowRun;Grants permission to retrieve a workflow run;Read;True
AWS Glue;glue;GetWorkflowRunProperties;glue:GetWorkflowRunProperties;Grants permission to retrieve workflow run properties;Read;True
AWS Glue;glue;GetWorkflowRuns;glue:GetWorkflowRuns;Grants permission to retrieve all runs of a workflow;Read;True
AWS Glue;glue;ImportCatalogToGlue;glue:ImportCatalogToGlue;Grants permission to import an Athena data catalog into AWS Glue;Write;True
AWS Glue;glue;ListBlueprints;glue:ListBlueprints;Grants permission to retrieve all blueprints;List;False
AWS Glue;glue;ListCrawlers;glue:ListCrawlers;Grants permission to retrieve all crawlers;List;False
AWS Glue;glue;ListCrawls;glue:ListCrawls;Grants permission to retrieve crawl run history for a crawler;List;False
AWS Glue;glue;ListCustomEntityTypes;glue:ListCustomEntityTypes;Grants permission to retrieve all Custom Entity Types;List;False
AWS Glue;glue;ListDevEndpoints;glue:ListDevEndpoints;Grants permission to retrieve all development endpoints;List;False
AWS Glue;glue;ListJobs;glue:ListJobs;Grants permission to retrieve all current jobs;List;False
AWS Glue;glue;ListMLTransforms;glue:ListMLTransforms;Grants permission to retrieve all ML Transforms;List;True
AWS Glue;glue;ListRegistries;glue:ListRegistries;Grants permission to retrieve a list of schema registries;List;False
AWS Glue;glue;ListSchemaVersions;glue:ListSchemaVersions;Grants permission to retrieve a list of schema versions;List;True
AWS Glue;glue;ListSchemas;glue:ListSchemas;Grants permission to retrieve a list of schema containers;List;True
AWS Glue;glue;ListSessions;glue:ListSessions;Grants permission to retrieve a list of interactive session;List;False
AWS Glue;glue;ListStatements;glue:ListStatements;Grants permission to retrieve a list of statements in an interactive session;List;True
AWS Glue;glue;ListTriggers;glue:ListTriggers;Grants permission to retrieve all triggers;List;False
AWS Glue;glue;ListWorkflows;glue:ListWorkflows;Grants permission to retrieve all workflows;List;False
AWS Glue;glue;NotifyEvent;glue:NotifyEvent;Grants permission to notify an event to the event-driven workflow;Write;True
AWS Glue;glue;PutDataCatalogEncryptionSettings;glue:PutDataCatalogEncryptionSettings;Grants permission to update catalog encryption settings;Write;True
AWS Glue;glue;PutResourcePolicy;glue:PutResourcePolicy;Grants permission to update a resource policy;Permissions management;True
AWS Glue;glue;PutSchemaVersionMetadata;glue:PutSchemaVersionMetadata;Grants permission to add metadata to schema version;Write;True
AWS Glue;glue;PutWorkflowRunProperties;glue:PutWorkflowRunProperties;Grants permission to update workflow run properties;Write;True
AWS Glue;glue;QuerySchemaVersionMetadata;glue:QuerySchemaVersionMetadata;Grants permission to fetch metadata for a schema version;List;True
AWS Glue;glue;RegisterSchemaVersion;glue:RegisterSchemaVersion;Grants permission to create a new schema version;Write;True
AWS Glue;glue;RemoveSchemaVersionMetadata;glue:RemoveSchemaVersionMetadata;Grants permission to remove metadata from schema version;Write;True
AWS Glue;glue;ResetJobBookmark;glue:ResetJobBookmark;Grants permission to reset a job bookmark;Write;False
AWS Glue;glue;ResumeWorkflowRun;glue:ResumeWorkflowRun;Grants permission to resume a workflow run;Write;True
AWS Glue;glue;RunStatement;glue:RunStatement;Grants permission to run a code or statement in an interactive session;Write;True
AWS Glue;glue;SearchTables;glue:SearchTables;Grants permission to retrieve the tables in the catalog;Read;True
AWS Glue;glue;StartBlueprintRun;glue:StartBlueprintRun;Grants permission to start running a blueprint;Write;True
AWS Glue;glue;StartCrawler;glue:StartCrawler;Grants permission to start a crawler;Write;True
AWS Glue;glue;StartCrawlerSchedule;glue:StartCrawlerSchedule;Grants permission to change the schedule state of a crawler to SCHEDULED;Write;False
AWS Glue;glue;StartExportLabelsTaskRun;glue:StartExportLabelsTaskRun;Grants permission to start an Export Labels ML Task Run;Write;True
AWS Glue;glue;StartImportLabelsTaskRun;glue:StartImportLabelsTaskRun;Grants permission to start an Import Labels ML Task Run;Write;True
AWS Glue;glue;StartJobRun;glue:StartJobRun;Grants permission to start running a job;Write;True
AWS Glue;glue;StartMLEvaluationTaskRun;glue:StartMLEvaluationTaskRun;Grants permission to start an Evaluation ML Task Run;Write;True
AWS Glue;glue;StartMLLabelingSetGenerationTaskRun;glue:StartMLLabelingSetGenerationTaskRun;Grants permission to start a Labeling Set Generation ML Task Run;Write;True
AWS Glue;glue;StartTrigger;glue:StartTrigger;Grants permission to start a trigger;Write;True
AWS Glue;glue;StartWorkflowRun;glue:StartWorkflowRun;Grants permission to start running a workflow;Write;True
AWS Glue;glue;StopCrawler;glue:StopCrawler;Grants permission to stop a running crawler;Write;True
AWS Glue;glue;StopCrawlerSchedule;glue:StopCrawlerSchedule;Grants permission to set the schedule state of a crawler to NOT_SCHEDULED;Write;False
AWS Glue;glue;StopSession;glue:StopSession;Grants permission to stop an interactive session;Write;True
AWS Glue;glue;StopTrigger;glue:StopTrigger;Grants permission to stop a trigger;Write;True
AWS Glue;glue;StopWorkflowRun;glue:StopWorkflowRun;Grants permission to stop a workflow run;Write;True
AWS Glue;glue;TagResource;glue:TagResource;Grants permission to add tags to a resource;Tagging;True
AWS Glue;glue;UntagResource;glue:UntagResource;Grants permission to remove tags associated with a resource;Tagging;True
AWS Glue;glue;UpdateBlueprint;glue:UpdateBlueprint;Grants permission to update a blueprint;Write;True
AWS Glue;glue;UpdateClassifier;glue:UpdateClassifier;Grants permission to update a classifier;Write;False
AWS Glue;glue;UpdateColumnStatisticsForPartition;glue:UpdateColumnStatisticsForPartition;Grants permission to update partition statistics of columns;Write;True
AWS Glue;glue;UpdateColumnStatisticsForTable;glue:UpdateColumnStatisticsForTable;Grants permission to update table statistics of columns;Write;True
AWS Glue;glue;UpdateConnection;glue:UpdateConnection;Grants permission to update a connection;Write;True
AWS Glue;glue;UpdateCrawler;glue:UpdateCrawler;Grants permission to update a crawler;Write;True
AWS Glue;glue;UpdateCrawlerSchedule;glue:UpdateCrawlerSchedule;Grants permission to update the schedule of a crawler;Write;False
AWS Glue;glue;UpdateDatabase;glue:UpdateDatabase;Grants permission to update a database;Write;True
AWS Glue;glue;UpdateDevEndpoint;glue:UpdateDevEndpoint;Grants permission to update a development endpoint;Write;True
AWS Glue;glue;UpdateJob;glue:UpdateJob;Grants permission to update a job;Write;True
AWS Glue;glue;UpdateMLTransform;glue:UpdateMLTransform;Grants permission to update an ML Transform;Write;True
AWS Glue;glue;UpdatePartition;glue:UpdatePartition;Grants permission to update a partition;Write;True
AWS Glue;glue;UpdateRegistry;glue:UpdateRegistry;Grants permission to update a schema registry;Write;True
AWS Glue;glue;UpdateSchema;glue:UpdateSchema;Grants permission to update a schema container;Write;True
AWS Glue;glue;UpdateTable;glue:UpdateTable;Grants permission to update a table;Write;True
AWS Glue;glue;UpdateTrigger;glue:UpdateTrigger;Grants permission to update a trigger;Write;True
AWS Glue;glue;UpdateUserDefinedFunction;glue:UpdateUserDefinedFunction;Grants permission to update a function definition;Write;True
AWS Glue;glue;UpdateWorkflow;glue:UpdateWorkflow;Grants permission to update a workflow;Write;True
AWS Glue;glue;UseGlueStudio;glue:UseGlueStudio;Grants permission to use Glue Studio and access its internal APIs;Permissions management;False
AWS Glue;glue;UseMLTransforms [permission only];glue:UseMLTransforms [permission only];Grants permission to use an ML Transform from within a Glue ETL Script;Write;True
AWS Glue DataBrew;databrew;BatchDeleteRecipeVersion;databrew:BatchDeleteRecipeVersion;Grants permission to delete one or more recipe versions;Write;True
AWS Glue DataBrew;databrew;CreateDataset;databrew:CreateDataset;Grants permission to create a dataset;Write;False
AWS Glue DataBrew;databrew;CreateProfileJob;databrew:CreateProfileJob;Grants permission to create a profile job;Write;False
AWS Glue DataBrew;databrew;CreateProject;databrew:CreateProject;Grants permission to create a project;Write;False
AWS Glue DataBrew;databrew;CreateRecipe;databrew:CreateRecipe;Grants permission to create a recipe;Write;False
AWS Glue DataBrew;databrew;CreateRecipeJob;databrew:CreateRecipeJob;Grants permission to create a recipe job;Write;False
AWS Glue DataBrew;databrew;CreateRuleset;databrew:CreateRuleset;Grants permission to create a ruleset;Write;False
AWS Glue DataBrew;databrew;CreateSchedule;databrew:CreateSchedule;Grants permission to create a schedule;Write;False
AWS Glue DataBrew;databrew;DeleteDataset;databrew:DeleteDataset;Grants permission to delete a dataset;Write;True
AWS Glue DataBrew;databrew;DeleteJob;databrew:DeleteJob;Grants permission to delete a job;Write;True
AWS Glue DataBrew;databrew;DeleteProject;databrew:DeleteProject;Grants permission to delete a project;Write;True
AWS Glue DataBrew;databrew;DeleteRecipeVersion;databrew:DeleteRecipeVersion;Grants permission to delete a recipe version;Write;True
AWS Glue DataBrew;databrew;DeleteRuleset;databrew:DeleteRuleset;Grants permission to delete a ruleset;Write;True
AWS Glue DataBrew;databrew;DeleteSchedule;databrew:DeleteSchedule;Grants permission to delete a schedule;Write;True
AWS Glue DataBrew;databrew;DescribeDataset;databrew:DescribeDataset;Grants permission to view details about a dataset;Read;True
AWS Glue DataBrew;databrew;DescribeJob;databrew:DescribeJob;Grants permission to view details about a job;Read;True
AWS Glue DataBrew;databrew;DescribeJobRun;databrew:DescribeJobRun;Grants permission to view details about job run for a given job;Read;True
AWS Glue DataBrew;databrew;DescribeProject;databrew:DescribeProject;Grants permission to view details about a project;Read;True
AWS Glue DataBrew;databrew;DescribeRecipe;databrew:DescribeRecipe;Grants permission to view details about a recipe;Read;True
AWS Glue DataBrew;databrew;DescribeRuleset;databrew:DescribeRuleset;Grants permission to view details about a ruleset;Read;True
AWS Glue DataBrew;databrew;DescribeSchedule;databrew:DescribeSchedule;Grants permission to view details about a schedule;Read;True
AWS Glue DataBrew;databrew;ListDatasets;databrew:ListDatasets;Grants permission to list datasets in your account;Read;False
AWS Glue DataBrew;databrew;ListJobRuns;databrew:ListJobRuns;Grants permission to list job runs for a given job;Read;True
AWS Glue DataBrew;databrew;ListJobs;databrew:ListJobs;Grants permission to list jobs in your account;Read;False
AWS Glue DataBrew;databrew;ListProjects;databrew:ListProjects;Grants permission to list projects in your account;Read;False
AWS Glue DataBrew;databrew;ListRecipeVersions;databrew:ListRecipeVersions;Grants permission to list versions in your recipe;Read;True
AWS Glue DataBrew;databrew;ListRecipes;databrew:ListRecipes;Grants permission to list recipes in your account;Read;False
AWS Glue DataBrew;databrew;ListRulesets;databrew:ListRulesets;Grants permission to list rulesets in your account;Read;False
AWS Glue DataBrew;databrew;ListSchedules;databrew:ListSchedules;Grants permission to list schedules in your account;Read;False
AWS Glue DataBrew;databrew;ListTagsForResource;databrew:ListTagsForResource;Grants permission to retrieve tags associated with a resource;Read;True
AWS Glue DataBrew;databrew;PublishRecipe;databrew:PublishRecipe;Grants permission to publish a major verison of a recipe;Write;True
AWS Glue DataBrew;databrew;SendProjectSessionAction;databrew:SendProjectSessionAction;Grants permission to submit an action to the interactive session for a project;Write;True
AWS Glue DataBrew;databrew;StartJobRun;databrew:StartJobRun;Grants permission to start running a job;Write;True
AWS Glue DataBrew;databrew;StartProjectSession;databrew:StartProjectSession;Grants permission to start an interactive session for a project;Write;True
AWS Glue DataBrew;databrew;StopJobRun;databrew:StopJobRun;Grants permission to stop a job run for a job;Write;True
AWS Glue DataBrew;databrew;TagResource;databrew:TagResource;Grants permission to add tags to a resource;Tagging;True
AWS Glue DataBrew;databrew;UntagResource;databrew:UntagResource;Grants permission to remove tags associated with a resource;Tagging;True
AWS Glue DataBrew;databrew;UpdateDataset;databrew:UpdateDataset;Grants permission to modify a dataset;Write;True
AWS Glue DataBrew;databrew;UpdateProfileJob;databrew:UpdateProfileJob;Grants permission to modify a profile job;Write;True
AWS Glue DataBrew;databrew;UpdateProject;databrew:UpdateProject;Grants permission to modify a project;Write;True
AWS Glue DataBrew;databrew;UpdateRecipe;databrew:UpdateRecipe;Grants permission to modify a recipe;Write;True
AWS Glue DataBrew;databrew;UpdateRecipeJob;databrew:UpdateRecipeJob;Grants permission to modify a recipe job;Write;True
AWS Glue DataBrew;databrew;UpdateRuleset;databrew:UpdateRuleset;Grants permission to modify a ruleset;Write;True
AWS Glue DataBrew;databrew;UpdateSchedule;databrew:UpdateSchedule;Grants permission to modify a schedule;Write;True
AWS Ground Station;groundstation;CancelContact;groundstation:CancelContact;Grants permission to cancel a contact;Write;True
AWS Ground Station;groundstation;CreateConfig;groundstation:CreateConfig;Grants permission to create a configuration;Write;False
AWS Ground Station;groundstation;CreateDataflowEndpointGroup;groundstation:CreateDataflowEndpointGroup;Grants permission to create a data flow endpoint group;Write;False
AWS Ground Station;groundstation;CreateMissionProfile;groundstation:CreateMissionProfile;Grants permission to create a mission profile;Write;False
AWS Ground Station;groundstation;DeleteConfig;groundstation:DeleteConfig;Grants permission to delete a config;Write;True
AWS Ground Station;groundstation;DeleteDataflowEndpointGroup;groundstation:DeleteDataflowEndpointGroup;Grants permission to delete a data flow endpoint group;Write;True
AWS Ground Station;groundstation;DeleteMissionProfile;groundstation:DeleteMissionProfile;Grants permission to delete a mission profile;Write;True
AWS Ground Station;groundstation;DescribeContact;groundstation:DescribeContact;Grants permission to describe a contact;Read;True
AWS Ground Station;groundstation;GetConfig;groundstation:GetConfig;Grants permission to return a configuration;Read;True
AWS Ground Station;groundstation;GetDataflowEndpointGroup;groundstation:GetDataflowEndpointGroup;Grants permission to return a data flow endpoint group;Read;True
AWS Ground Station;groundstation;GetMinuteUsage;groundstation:GetMinuteUsage;Grants permission to return minutes usage;Read;False
AWS Ground Station;groundstation;GetMissionProfile;groundstation:GetMissionProfile;Grants permission to retrieve a mission profile;Read;True
AWS Ground Station;groundstation;GetSatellite;groundstation:GetSatellite;Grants permission to return information about a satellite;Read;True
AWS Ground Station;groundstation;ListConfigs;groundstation:ListConfigs;Grants permission to return a list of past configurations;List;False
AWS Ground Station;groundstation;ListContacts;groundstation:ListContacts;Grants permission to return a list of contacts;List;False
AWS Ground Station;groundstation;ListDataflowEndpointGroups;groundstation:ListDataflowEndpointGroups;Grants permission to list data flow endpoint groups;List;False
AWS Ground Station;groundstation;ListGroundStations;groundstation:ListGroundStations;Grants permission to list ground stations;List;False
AWS Ground Station;groundstation;ListMissionProfiles;groundstation:ListMissionProfiles;Grants permission to return a list of mission profiles;List;False
AWS Ground Station;groundstation;ListSatellites;groundstation:ListSatellites;Grants permission to list satellites;List;False
AWS Ground Station;groundstation;ListTagsForResource;groundstation:ListTagsForResource;Grants permission to list tags for a resource;Read;True
AWS Ground Station;groundstation;ReserveContact;groundstation:ReserveContact;Grants permission to reserve a contact;Write;False
AWS Ground Station;groundstation;TagResource;groundstation:TagResource;Grants permission to assign a resource tag;Tagging;True
AWS Ground Station;groundstation;UntagResource;groundstation:UntagResource;Grants permission to deassign a resource tag;Tagging;True
AWS Ground Station;groundstation;UpdateConfig;groundstation:UpdateConfig;Grants permission to update a configuration;Write;True
AWS Ground Station;groundstation;UpdateMissionProfile;groundstation:UpdateMissionProfile;Grants permission to update a mission profile;Write;True
Amazon GroundTruth Labeling;groundtruthlabeling;AssociatePatchToManifestJob [permission only];groundtruthlabeling:AssociatePatchToManifestJob [permission only];Grants permission to associate a patch file with the manifest file to update the manifest file;Write;False
Amazon GroundTruth Labeling;groundtruthlabeling;DescribeConsoleJob [permission only];groundtruthlabeling:DescribeConsoleJob [permission only];Grants permission to get status of GroundTruthLabeling Jobs;Read;False
Amazon GroundTruth Labeling;groundtruthlabeling;ListDatasetObjects [permission only];groundtruthlabeling:ListDatasetObjects [permission only];Grants permission to list dataset objects in a manifest file;Read;False
Amazon GroundTruth Labeling;groundtruthlabeling;RunFilterOrSampleDatasetJob [permission only];groundtruthlabeling:RunFilterOrSampleDatasetJob [permission only];Grants permission to filter records from a manifest file using S3 select. Get sample entries based on random sampling;Write;False
Amazon GroundTruth Labeling;groundtruthlabeling;RunGenerateManifestByCrawlingJob [permission only];groundtruthlabeling:RunGenerateManifestByCrawlingJob [permission only];Grants permission to list a S3 prefix and create manifest files from objects in that location;Write;False
Amazon GuardDuty;guardduty;AcceptInvitation;guardduty:AcceptInvitation;Grants permission to accept invitations to become a GuardDuty member account;Write;False
Amazon GuardDuty;guardduty;ArchiveFindings;guardduty:ArchiveFindings;Grants permission to archive GuardDuty findings;Write;False
Amazon GuardDuty;guardduty;CreateDetector;guardduty:CreateDetector;Grants permission to create a detector;Write;False
Amazon GuardDuty;guardduty;CreateFilter;guardduty:CreateFilter;Grants permission to create GuardDuty filters. A filters defines finding attributes and conditions used to filter findings;Write;True
Amazon GuardDuty;guardduty;CreateIPSet;guardduty:CreateIPSet;Grants permission to create an IPSet;Write;False
Amazon GuardDuty;guardduty;CreateMembers;guardduty:CreateMembers;Grants permission to create GuardDuty member accounts, where the account used to create a member becomes the GuardDuty administrator account;Write;False
Amazon GuardDuty;guardduty;CreatePublishingDestination;guardduty:CreatePublishingDestination;Grants permission to create a publishing destination;Write;False
Amazon GuardDuty;guardduty;CreateSampleFindings;guardduty:CreateSampleFindings;Grants permission to create sample findings;Write;False
Amazon GuardDuty;guardduty;CreateThreatIntelSet;guardduty:CreateThreatIntelSet;Grants permission to create GuardDuty ThreatIntelSets, where a ThreatIntelSet consists of known malicious IP addresses used by GuardDuty to generate findings;Write;False
Amazon GuardDuty;guardduty;DeclineInvitations;guardduty:DeclineInvitations;Grants permission to decline invitations to become a GuardDuty member account;Write;False
Amazon GuardDuty;guardduty;DeleteDetector;guardduty:DeleteDetector;Grants permission to delete GuardDuty detectors;Write;True
Amazon GuardDuty;guardduty;DeleteFilter;guardduty:DeleteFilter;Grants permission to delete GuardDuty filters;Write;True
Amazon GuardDuty;guardduty;DeleteIPSet;guardduty:DeleteIPSet;Grants permission to delete GuardDuty IPSets;Write;True
Amazon GuardDuty;guardduty;DeleteInvitations;guardduty:DeleteInvitations;Grants permission to delete invitations to become a GuardDuty member account;Write;False
Amazon GuardDuty;guardduty;DeleteMembers;guardduty:DeleteMembers;Grants permission to delete GuardDuty member accounts;Write;False
Amazon GuardDuty;guardduty;DeletePublishingDestination;guardduty:DeletePublishingDestination;Grants permission to delete a publishing destination;Write;True
Amazon GuardDuty;guardduty;DeleteThreatIntelSet;guardduty:DeleteThreatIntelSet;Grants permission to delete GuardDuty ThreatIntelSets;Write;True
Amazon GuardDuty;guardduty;DescribeMalwareScans;guardduty:DescribeMalwareScans;Grants permission to retrieve details about malware scans;Read;False
Amazon GuardDuty;guardduty;DescribeOrganizationConfiguration;guardduty:DescribeOrganizationConfiguration;Grants permission to retrieve details about the delegated administrator associated with a GuardDuty detector;Read;False
Amazon GuardDuty;guardduty;DescribePublishingDestination;guardduty:DescribePublishingDestination;Grants permission to retrieve details about a publishing destination;Read;True
Amazon GuardDuty;guardduty;DisableOrganizationAdminAccount;guardduty:DisableOrganizationAdminAccount;Grants permission to disable the organization delegated administrator for GuardDuty;Write;False
Amazon GuardDuty;guardduty;DisassociateFromMasterAccount;guardduty:DisassociateFromMasterAccount;Grants permission to disassociate a GuardDuty member account from its GuardDuty administrator account;Write;False
Amazon GuardDuty;guardduty;DisassociateMembers;guardduty:DisassociateMembers;Grants permission to disassociate GuardDuty member accounts from their administrator GuardDuty account;Write;False
Amazon GuardDuty;guardduty;EnableOrganizationAdminAccount;guardduty:EnableOrganizationAdminAccount;Grants permission to enable an organization delegated administrator for GuardDuty;Write;False
Amazon GuardDuty;guardduty;GetDetector;guardduty:GetDetector;Grants permission to retrieve GuardDuty detectors;Read;True
Amazon GuardDuty;guardduty;GetFilter;guardduty:GetFilter;Grants permission to retrieve GuardDuty filters;Read;True
Amazon GuardDuty;guardduty;GetFindings;guardduty:GetFindings;Grants permission to retrieve GuardDuty findings;Read;False
Amazon GuardDuty;guardduty;GetFindingsStatistics;guardduty:GetFindingsStatistics;Grants permission to retrieve a list of GuardDuty finding statistics;Read;False
Amazon GuardDuty;guardduty;GetIPSet;guardduty:GetIPSet;Grants permission to retrieve GuardDuty IPSets;Read;True
Amazon GuardDuty;guardduty;GetInvitationsCount;guardduty:GetInvitationsCount;Grants permission to retrieve the count of all GuardDuty invitations sent to a specified account, which does not include the accepted invitation;Read;False
Amazon GuardDuty;guardduty;GetMalwareScanSettings;guardduty:GetMalwareScanSettings;Grants permission to retrieve the malware scan settings;Read;False
Amazon GuardDuty;guardduty;GetMasterAccount;guardduty:GetMasterAccount;Grants permission to retrieve details of the GuardDuty administrator account associated with a member account;Read;False
Amazon GuardDuty;guardduty;GetMemberDetectors;guardduty:GetMemberDetectors;Grants permission to describe which data sources are enabled for member accounts detectors;Read;False
Amazon GuardDuty;guardduty;GetMembers;guardduty:GetMembers;Grants permission to retrieve the member accounts associated with an administrator account;Read;False
